item,itemLabel,itemDescription,twitterName,twitterID,twitterFollowers,sitelinks
http://www.wikidata.org/entity/Q55748285,Halil Sarp,mineralogist,,,,1
http://www.wikidata.org/entity/Q55749237,Süleyman Ulusoy,former police officer,,,,1
http://www.wikidata.org/entity/Q55749643,Muhittin Boşat,Turkish referee,,,,1
http://www.wikidata.org/entity/Q55750138,İnci Ece Öztürk,Turkish boules player,,,,2
http://www.wikidata.org/entity/Q55806846,Kaan Sekban,Turkish comedian,,,,1
http://www.wikidata.org/entity/Q55813860,Giorgos Gkeivelis,Greek cartoonist and journalist,,,,1
http://www.wikidata.org/entity/Q55825858,Osman Numan Baranus,şair ve yazar,,,,1
http://www.wikidata.org/entity/Q55825857,Rafet Ekiz,Türk ressam,,,,1
http://www.wikidata.org/entity/Q55957212,Antonis Tzinioles,Greek actor,,,,0
http://www.wikidata.org/entity/Q55973741,Merve Uygül,Turkish basketball player,,,,2
http://www.wikidata.org/entity/Q55974117,Mustafa Gonden,association football player,,,,2
http://www.wikidata.org/entity/Q55974635,Q55974635,Greek actor,,,,0
http://www.wikidata.org/entity/Q55974694,Petr Gottwald,association football player,,,,2
http://www.wikidata.org/entity/Q55978759,Christoforos Cheimaras,Greek actor,,,,0
http://www.wikidata.org/entity/Q55984260,Hasan İbicioğlu,,,,,1
http://www.wikidata.org/entity/Q55998393,Mehmet Göçmen,Sabancı Holding chief executive officer,,,,1
http://www.wikidata.org/entity/Q56024261,Q56024261,,,,,0
http://www.wikidata.org/entity/Q56027161,Meri Sagianou,,,,,0
http://www.wikidata.org/entity/Q56043377,Ulysses Kokkinos,association football player,,,,1
http://www.wikidata.org/entity/Q56043430,Yunus Akgün,Turkish association football player (2000-),,,,16
http://www.wikidata.org/entity/Q56043432,Onurcan Güler,Turkish professional footballer,,,,4
http://www.wikidata.org/entity/Q56052273,Emre Yavuz,,,,,1
http://www.wikidata.org/entity/Q56118183,Necati Er,Turkish athlete,,,,9
http://www.wikidata.org/entity/Q56126499,Safa Merve Nalçacı,Turkish association football player (1993-),,,,6
http://www.wikidata.org/entity/Q56126596,Cansel Gözüaçık,Turkish association football player,,,,2
http://www.wikidata.org/entity/Q56142806,Jacques Palaci,,,,,0
http://www.wikidata.org/entity/Q56162811,Özer Kızıltan,Turkish film director,,,,1
http://www.wikidata.org/entity/Q56163005,Fazlı Göknar,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q56163202,Gökçe Kılınçer,Turkish singer,,,,1
http://www.wikidata.org/entity/Q56163251,Arzu Çerkezoğlu,Turkish physician and trade union leader,,,,3
http://www.wikidata.org/entity/Q56163337,İsmail Özden,Yazidi Kurdish rebels,,,,3
http://www.wikidata.org/entity/Q56173753,Nevzat Bekaroğlu,Türk asker,,,,1
http://www.wikidata.org/entity/Q56173756,Sadık Ercan,Turkish general,,,,1
http://www.wikidata.org/entity/Q56173763,İnci Enginün,Turkish academic,,,,1
http://www.wikidata.org/entity/Q56173760,Abdullah Barutcu,Turkish general,,,,1
http://www.wikidata.org/entity/Q56173769,İsmet Arzuman,,,,,1
http://www.wikidata.org/entity/Q56173772,Serdar Tatlı,Eski Türk futbol hakemi ve MHK başkanı,,,,1
http://www.wikidata.org/entity/Q56173784,Hasan Ceylan,referee,,,,1
http://www.wikidata.org/entity/Q56173794,Hüseyin Avni Dede,,,,,2
http://www.wikidata.org/entity/Q56173800,Şükrü Tetik,Turkish association football player,,,,2
